// APLS custom dictionary

// Word-initial secondary-stress: Use """ at the start of the word & " at the end
// DO NOT EDIT IN EXCEL--IT WILL ADD EXTRA CHARACTERS
// N.B. Rows with just one entry are ignored by LaBB-CAT; these can be used for comments


// Pittsburgh/SWPA geographic names
Wilkinsburg,'wIl-kInz-"b3rg
Wilkinsburg,'wIl-kHz-"b3rg
Mon,'mQn
Mon,'m$n
Homewood,'h5m-"wUd
Shadyside,'S1-di-"s2d
Larimer,'l#r-I-m@r
Larimer,'l#r-@-m@r
Larimer,'l{r-I-m@r
Larimer,'l{r-@-m@r
Brashear,br@-'S7r
Beechview,'biJ-"vju
Milliones,m@-'l2nz
Steeler,'sti-l@r
Steelers,'sti-l@rz
McCandless,mI-'k{nd-l@s
Monroeville,mH-'r5-"vIl
Portersville,'p$r-t2rz-"vIl
Glenshaw,'glEn-"sh$
Pittsburgher,'pIts-b3r-g@r
Pittsburghers,'pIts-b3r-g@rz
Waynesburg,'w1nz-"b3rg
Fernway,'f3rn-"w1
Pennsylvanian,"""pEn-sP-'v1n-jH"
Pennsylvanians,"""pEn-sP-'v1n-jHz"
McMunn,mIk-'mVn
S'Liberty,'slI-b@r-ti
Lawrenceville,'l$r-Hs-"vIl
Lawrenceville,'l#r-Hs-"vIl
McKeesport,m@-'kiz-"p$rt
Renfrew,'rEn-fru
Sharpsburg,'S#rps-"b3rg
Shaler,'S1-l@r
Ambridge,'{m-brI_
Leetsdale,'lits-"d1l
Sewickley,s@-'wIk-li
Avonworth,'{-vH-"w3rT
Emsworth,'Emz-"w3rT
Warrendale,'w$r-H-"d1l
Crider's,'kr2-d@rz
McKnightmare,mIk-'n2t-m8r
Wexford,'wEks-f@rd
Indiantown,'In-di-H-"t4n
Wiley,'w2-li
Morganza,m$r-'g{n-z@
Brookline,'brUk-"l2n
Millvale,'mIl-"v1l
Oakmont,'5k-mQnt
Overbrook,'5-v@r-"brUk
Eastvale,'ist-"v1l
Glassport,'gl{s-"p$rt
Greensburg,'grinz-"b3rg
Zelienople,'zi-li-H-"5-pP
Zelie,'zi-li
Passavant,'p{-s@-vHt
Karns,'k#rnz
Haine,'h1n
Schenley,'SEn-li
Braddock,'br{-d@k
Braddock,'br{-dQk
Edinboro,'E-dIn-b@r-5
Murrysville,'m3r-iz-"vIl
Morningside,'m$r-nIN-"s2d
Swissvale,'swIs-"v1l
Deener,'di-n@r
Aspinwall,'{s-pH-"w$l
Richland,'rIJ-lHd
Ringgold,'rIN-g5ld
McArdle,mI-'k#r-dP
McArdle,m@-'k#r-dP
Idlewild,'2-dP-"w2ld
Sandcastle,'s{nd-"k{-sP
Herron,'h8r-H
Herron,'h8r-In
Woolslair,'wUls-l@r
Uniontown,'jun-jH-"t6n
Ligonier,"""lI-g@-'n7r"
Kennywood,'kE-ni-"wUd
Kennard,'kE-n#rd
Ossipee,'Q-sI-pi
Filmore,'fIl-"m$r
Wendover,'wEn-"d5-v@r
Ardmore,'#rd-"m$r
Allderdice,'Ql-d@r-"d2s
Belmar,'bEl-"m#r
Kedron,'kE-drH
Lemington,'lE-mIN-"tH
Mucklerat,'mV-kP-"r{t
Rankin,'r1N-kH
Chalfant,'J{l-"fQnt
Skeetersville,'ski-t@rs-"vIl
Monessen,m@-'nE-sH
Carlow,'k#r-l5
Negley,'nE-gli
Brushton,'brVS-tH
Pymatuning,'p2-m@-"tu-nIN
McNaugher,mIk-'nQ-k@r
Northview,'n$rT-vju
Alvernia,@-'v@r-nj@
Kittanning,k@-'t{-nIN
McKees,m@-'kiz
McKees,mI-'kiz
Crafton,'kr{f-tH
Bridgeville,'brI_-vIl
Canonsburg,'k{-nHz-"b3rg
Winebiddle,'w2n-bI-dP
Montefiore,'m$n-tI-"fj$r
Aliquippa,"""{-l@-'kwI-p@"
Treesdale,'triz-"d1l
Benedum,'bE-n@-dF
Spang's,'sp1Nz
Rockville,'rQk-"vIl
Brownsville,'br6nz-"vIl
Redstone,'rEd-"st5n
Thornberry,'T$rn-"bEr-i
Yost,'j5st
Brereton,'br3r-tH
Whittier,'wI-ti-@r
Whittier,'wI-t@-k@r
Castlegate,'k{-sP-"g1t
Waynesboro,'w1nz-"b@r-5
Hagerstown,'h1-g@rz-"t6n
Swisshelm,'swIs-"hElm
Heldman,'hEld-mH
Whiteside,'w2t-"s2d
Cuyahoga,'k2-@-"h5-g@
Pine-Richland,"""p2n-'rIJ-lHd"
Hallett,'h{-l@t
Dinwiddie,dIn-'wI-di
Devilliers,di-'vI-li-@rz
McKelvy,mI-'kEl-vi
Monongahela,m@-nQN-g@-'hi-l@
Monongahela,m@-nQN-g@-'h1-l@


// Pittsburgh personal names
Stargell,'st#r-_P
Bonilla,b5-'ni-@
Kudzma,'kVdz-m@
Kaufer,'k$-f@r
Wiggin,'wI-gH
Krenn,'krEn
Bettis,'bE-tIs
Irvis,'3r-vIs
Sebak,'si-b{k
Mueller,'mV-l@r
Mueller,'mju-l@r


// Pittsburgh lexicon
nebby,'nE-bi
yinz,'jInz
yinzer,'jIn-z@r
yinzers,'jIn-z@rz
Pittsburghese,"""pIts-b3r-'giz"
WAMO,'w{-m5
gumband,'gVm-b{nd
gumbands,'gVm-b{nds
n'at,H-'{t
n'at,'n{t
redd,'rEd
redds,'rEdz
redded,'rE-d@d
grinny,'grI-ni
grinnies,'grI-niz
Trib,trIb
Eat'n,'it-H
N',H
'n,H
outen,'6t-H
outens,'6t-Hz
outened,'6t-Hd
rench,'rEnJ
renches,'rEnJ-@z
renched,'rEnJt


// Company/brand names (local or otherwise)
Applebee,'{-pP-bi
Applebee's,'{-pP-biz
Pelusi,p@-'lu-si
Amiesite,'{-mI-s2t
Loews,'l5z
Panera,p@-'n8r-@
Stroh's,'str5z
Poli's,'p5-l2z
